Title,Author,Year,Updated,Tags
"Gnarly Posthuman Conversations: John Ashbery, W. H. Auden, Wallace Stevens, and GPT-2","Brad Gallagher",2021,"05/23/2021 - 14:05","posthumanism, generative poetry, gpt-2, deep learning, AI, posthuman postmodern, hyper-carving"
"The Hollow Reach","John Murray, Mark C. Marino",2021,"05/23/2021 - 14:17","posthumanism, VR, virtual reality, posthuman, prosthesis, trauma, reovery"
Voidopolis,"Kat Mustatea",2020,"05/23/2021 - 14:23","posthumanism, instragram, temporary, ephemeral art, visual art, text, e-lit, electronic literature"
"Li Po :: 8888","Santiago Canek Zapata Paniagua",,"05/23/2021 - 14:06","posthumanism, generative poetry, poetry, visual poetry"
"Not a Book: Locating Material Traces of Collaborative Print and Digital Technologies in the Archive","Johannah Rodgers",2014,"05/25/2021 - 18:38","posthumanism, print, digital book, digitization, electronic literature, e-lit, book making"
"To Pray Without Ceasing","Kyle Booten",2020,"05/23/2021 - 14:18","posthumanism, religion, interpassivity, natural language processing, information retrieval, browser work, prayer"
"Book Post","Nick Montfort",2021,"05/23/2021 - 13:57","posthumanism, Allison Parrish, Milton Läufer, Lillian-Yvonne Bertram, Articulations, golem, A Noise Such as a Man Might Make, Travesty Generator, installation, projection, poetry, novel, book, library, Generated literature, electronic literature, printed book"
"A.I seems to be a verb","Karen Ann Donnachie, Andy Simionato",2021,"05/23/2021 - 13:46","posthumanism, automated art system, human-nonhuman collaboration, AI, artificial intelligence, machine learning, posthuman literature, Interactive art"
"Distant Affinities","Will Luers",2020,"05/23/2021 - 13:58","posthumanism, video, AI, cinema, recombinant, fictional narrator, text and video"
"Meet Me At The Station","Roderick Coover",2020,"05/24/2021 - 13:37","posthumanism, posthuman electronic literature, electronic literature, platforming Utopias, Platformed Dystopias, VR, virtual reality, video, music, surreal"
"Turing's Assembly Line","Beat Suter, René Bauer",2020,"05/23/2021 - 14:20","posthumanism, plato system, Alan Turing, Utopical 1960s, Forgotten platforms, game art, art game, automatic learning, universal machine"
"Unerasable Characters II","Winnie Soon",2020,"05/25/2021 - 10:34","posthumanism, erasure, censorship, digital platforms, weibo, real time, data capture, data scraping"
Autography,"Simon Biggs",2021,"05/23/2021 - 13:50","interactive artwork, 3D software, automatic writing, posthumanism"
"Retextualização de ""Oceanografias (a memória da água)"", de Antero de Alda","Rui Torres",2016,"02/21/2021 - 21:57","combinatory poetry, re-reading"
"Cushioned Fakescripts","Rui Torres",2017,"02/21/2021 - 21:53","fakescripts, mixed media"
"a separação:: a(n)estesia","Rui Torres",2016,"02/21/2021 - 21:05","combinatory poetry, parody, advertisements, détournement, propaganda, remix"
Árvore,"Rui Torres",2018,"02/21/2021 - 21:02","combinatory poetry, sound composition, ecological consciousness, flora"
"Lost in Translation","Rui Torres",2019,"02/21/2021 - 20:53","combinatory poetry, automatic translation, sound composition, languages"
fakephone4a(n)droid,"Rui Torres",2019,"02/21/2021 - 19:18","combinatory poetry, parody/satire"
"Releituras de obras de Abílio-José Santos: 'era uma vez uma gata' e 'interrogações'","Rui Torres, Bruno Ministro, Diogo Marques",2019,"02/21/2021 - 18:45","combinatory poetry, combinatory narrative, intertextuality, re-reading"
Cantiga,"Rui Torres",2020,"02/21/2021 - 18:35","combinatory poetry, troubadour"
"Do Peso e da Leveza","Rui Torres",2020,"02/21/2021 - 18:30","combinatory poetry, sound composition, intertextuality"
"1 corvo nunca mais","Rui Torres",2020,"02/21/2021 - 18:29","combinatory poetry, language translation, intertextuality"
"Húmus Poema Contínuo","Rui Torres",2020,"02/21/2021 - 18:31","combinatory poetry, intertextuality, re-reading"
"Amor de Clarice","Rui Torres",2005,"05/11/2021 - 23:18","combinatory poetry, sound poetry, intertextuality, re-reading"
"brin cadeiras","Rui Torres",2020,"02/21/2021 - 18:30","combinatory poetry, sound poetry, intertextuality, re-reading"
"Poemas no meio do caminho","Rui Torres",2020,"02/21/2021 - 18:31","combinatory poetry, sound poetry"
"Tópicos cartesianos atípicos","Rui Torres, Paulo Alexandre e Castro",2020,"02/21/2021 - 18:32","philosophical approaches to electronic literature, combinatory"
Golem,"Nick Montfort",2021,"03/12/2021 - 17:33","computer-generated text, book as object"
"PATTER(n)INGS: Apt. 3B","Lisa Holloway-Attaway, Jamie Fawcus",2021,"05/23/2021 - 13:05","psychoacoustic, interactive audio narrative, lockdown, disease narrative, COVID-19"
ToniZ,"René Bauer, Beat Suter",2020,"05/23/2021 - 13:26","digital twin, alternative platform for exhibition and performance, Virtual/analog liberation, reshape a school, COVID-19"
"Merged with the Screen for Days","Judy Malloy",2020,"05/23/2021 - 13:01","generative poetry, electronic literature, literary engine, COVID-era isolation, e-poetry, narrative data structure, COVID-19"
"RE\VERSE: an elegiac e-poem","Diogo Marques, João Santa Cruz, Daniela Reis",2020,"05/23/2021 - 13:09","e-poem, confinement, quarantine, elegy, multimodal, COVID-19, elegiac e-poem, artist collective wr3ad1ng d1g1t5"
"The British Library Simulator","Giulia Carla Rossi",2020,"05/23/2021 - 13:16","interactive, art-game, virtual tour, GLAM and cultural heritage sector, COVID-19"
"Curt Curtal Sonnet Corona","Amaranth Borsuk",2020,"05/23/2021 - 12:52","generative poetry, parenthood, COVID-19"
"Lost Inside: A Digital Inquiry","Bilal Mohamed",2020,"05/23/2021 - 12:57","reflection, solitude, Multi-media, Digital Journal, Ruminate, COVID-19"
"Pandemic Encounter","Annie Abrahams",2020,"05/23/2021 - 13:02","breathing, heart beat, silences, universal language, COVID-19, computer generated sound"
"I Got Up 2020, Pandemic Edition","Xtine Burrough",2020,"05/23/2021 - 12:56","Pandemic Art, conceptual art, On Kawara, Domestic Space, Art and Life, COVID-19"
"Masked Making: Uncovering Women’s Craft Labor during COVID-19","Lai-Tze Fan, Anne Sullivan, Anastasia Salter",2021,"05/23/2021 - 12:59","generative, craft, imagetext, women's labor, face masks, feminism, COVID-19"
"Ear for the Surge","Claire Fitch",2020,"05/23/2021 - 12:53","COVID-19, Black Lives Matter, Online Protest, Renewal, uncertainty, change, human rights"
"Ghost City Avenue-S","Jody Zellen",2020,"05/23/2021 - 12:55","pandemic journal, net art, art, fragment, city, protest, technology, COVID-19"
Wolk,"Akwasi, Tim den Besten, Radna Fabias, Tim Hofman, Joke van Leeuwen, Paul van Ostaijen, Roos Rebergen, Edward van de Vendel, Anne Vegter, Teske de Schepper",,"01/28/2021 - 12:10","augmented reality, kinetic digital poetry, educational"
"Kruinen blazen","Hélène Gelèns",2012,"01/28/2021 - 11:20","kinetic poetry, interactive app"
"Je dis merde et remerde / Et reremerde","Saskia de Jong",2012,"01/28/2021 - 10:48","website, experimental film, poetry, kinetic typography, audio, climate change"
"Kaashi: the city that wasn’t!","Samya Brata Roy",2018,"01/28/2021 - 10:45","blog fiction, parody/satire, travel narrative, nostalgia, India"
IJsseloever,"Wim Brands",2012,"01/28/2021 - 10:23",
Rozsypne,"Lisa Weeda",2019,"01/28/2021 - 10:09","virtual reality, creative nonfiction"
"A Storm in 2K","J. R. Carpenter",2020,"01/21/2021 - 18:58","weather, couplets, javascript, poetry"
"Polska przydrożna / Roadside Poland","Piotr Marecki, Krzysztof Kaz Ziembik, Kamil Gorgh Trzaska, Michał Caruso Brzezicki",2020,"05/23/2021 - 13:07","demo, Polish culture, Polish electronic literature, road trip, demoscena, demoscene, chiptune, COVID-19"
"Hiperpopeia: hiperpoema contínuo","Drump Goo",2020,"01/06/2021 - 19:02","epic poem, hypertext, poetics social media, parody"
"C.a.p.e. Drop-Dog","Tonnus Oosterhoff",2016,"12/10/2020 - 13:31","virtual reality"
"Lijn 3","Lieke Marsman",2018,"12/10/2020 - 13:08","augmented reality, geospatial location, animated poetry, kinetic typography"
"Coronation: a webcomic","Marino Family, Mark C. Marino",2020,"05/23/2021 - 12:50","COVID-19, pandemic, webcomic, family, homely, quarantine, social isolation, lockdown, everyday life, image and text"
"Coronary (Coronário)","Giselle Beiguelman",2020,"12/08/2020 - 15:29","COVID-19, pandemic, lexicon, economy of attention, politics, gaze, heat maps, neologisms, Google, Brazil"
"The Endless Doomscroller","Ben Grosser",2020,"05/23/2021 - 13:24","COVID-19, pandemic, doomscrolling, alternative interface, social media, anxiety, addiction, engagement, interface"
Exposed,"Sharon Daniel, Erik Loyer",2020,"05/23/2021 - 12:53","COVID-19, incarceration, social justice, isolation, structural racism, documentary, non-fiction, database, appropriated text"
"Blackness for Sale","Keith Obadike, Mendi Obidake",2001,"12/08/2020 - 13:19","race, racialization, blackness, e-commerce, commodification, auctions, parody"
"Pope Lost Hope","Yohanna Joseph Waliya",2020,"11/25/2020 - 17:46",
"Monde instable","Yohanna Joseph Waliya",2020,"12/08/2020 - 14:06","kinetic poetry, COVID-19"
"VUMA Soner","Sheila Feruzi Kassim, Christa Mako Teigen, Majenneh Dukuly",2020,"11/19/2020 - 10:58","geolocative works, locative narrative, race, Scandinavia, Bergen, memories, immigrants"
"Most Powerful Words","David Thomas Henry Wright",2020,"05/23/2021 - 14:11","Taroko Gorge, digital poems, remix, found poetry, generative poetry"
"""V[R]erses"": An XR Story Series","Mez Breeze",2020,"05/23/2021 - 15:53","VR Literature, microstory, 3D, audio experience"
"Escríbe tu propio Quijote","Belén Gache",2006,"10/23/2020 - 13:08","poem, rewrite, interface, word processor, Don Quijote, wordtoys, keyboard, keystrokes"
"El libro del fin del mundo","Belén Gache",2002,"10/21/2020 - 11:46","encyclopedia, knowledge, world, questioning, identities, Création, autonomous, imaginary universe"
"Hotel Minotauro","Domenico Chiappe",2013,"10/21/2020 - 11:48","hotel, minotaur, digital space, musical composition, crime, doors, multimedia, Flash"
"The Shootout","Alan Bigelow",2016,"11/09/2020 - 13:37","western, interactive"
"The Dreamcatcher","Andy Campbell, Judi Alston",2017,"10/17/2020 - 15:03","dream, interactive artwork, AR/VR, social media"
"The Human Touch","Jody Zellen",2018,"10/17/2020 - 14:14",
Quarters,"Derek Beaulieu, Nick Montfort",2020,"10/16/2020 - 02:02","visual poem"
"Amazing Quest","Nick Montfort",2020,"10/16/2020 - 02:03","interactive fiction, BASIC, minimal, procedural generation"
Oratorio,"André Vallias",2003,"10/15/2020 - 18:23",
"Nous n'avons pas compris Descartes","André Vallias",,"10/15/2020 - 18:15","Flash, kinetic poetry, metapoem"
"Shadow Trees","Jody Zellen",2019,"10/09/2020 - 11:39","urban, nature, art and video, American city life"
"We Descend: Archives Pertaining to Egderus Scriptor, Volume Three","Bill Bly",2019,"10/09/2020 - 11:23","hypertext, archive, personal voice, anthology, combinatory narrative, fragment, historical document"
"The Renewable Sonnets of William Shakespeare (Volumes 1 & 2)","Curt Rode",2019,"10/09/2020 - 11:07","sonnet, Python, javascript, William Shakespeare, digital poem"
Stromatolite,"Stuart Moulthrop",2020,"10/08/2020 - 16:36","Google, interactive web, haunted media, dream"
"Here Comes Her Man","Logan K. Young",2020,"10/08/2020 - 16:19","gender, music, narrative"
"Camtasia Fantasy","Jeff Morris",2020,"10/08/2020 - 15:51","electroacoustic, glitch, misreading, music, sound art"
"Memorias Construidas (Constructed Memories)","Vanessa Argueta",2020,"10/08/2020 - 16:39","digital art, fiber, found material, textile"
"Objects (series)","Liliana Vasques",2020,"10/08/2020 - 11:20","domestic violence, digital poems, constitutional rights, prejudice, sexual identity, social roles"
"Standing By The Wall","John McDaid",2019,"10/05/2020 - 23:00",
"We Knew The Glass Man","John McDaid",2019,"10/05/2020 - 22:41",
"Flight of the CodeMonkeys","Mark C. Marino",2020,"10/02/2020 - 14:42","code, critical code studies, AI, parody"
"Rats and Cats :: Katter Og Rotter","Roderick Coover, Scott Rettberg",2011,"10/02/2020 - 13:32","memory, desire, catastrophe, translations, Skype, history"
#YouTubers,"Alex Saum-Pascual",2018,"09/18/2020 - 22:00",
"Corporate Poetry","Alex Saum-Pascual",2020,"10/08/2020 - 16:07","corporate discourse, surveymonkey, survey"
"#SELFIEPOETRY: Women & Capitalism","Alex Saum-Pascual",2016,"09/18/2020 - 21:43",
"#SELFIEPOETRY: Fake Art Histories and the Inscription of the Digital Self","Alex Saum-Pascual",2014,"09/18/2020 - 21:44",
"Room #3, from The Offline Website Project","Alex Saum-Pascual",2020,"05/23/2021 - 13:11","zoom, video call, data gathering, privacy, solitude, surveillance, COVID-19"
"beauty routine, from The Offline Website Project","Alex Saum-Pascual",2019,"03/19/2021 - 18:03",
"The Inform Designer’s Manual","Graham Nelson",2001,"09/17/2020 - 16:53","cybertext, adventure games, Manuel"
"Introducing Inform 7","Stephen Granade",,"09/17/2020 - 16:35","Inform 7.interactive fiction.Graham Nelson.Inform 6"
"A Brief History of Interactive Fiction Games... Choose Your Own Adventure and Visual Novels","Alana Siebert",2014,"09/17/2020 - 16:23","interactive fiction, CYOA, Choose Your Own Adventure books, video games."
"Social Story Worlds With Comme il Faut","Joshua McCoy, Mike Treanor, Ben Samuel, Aaron A. Reed, Michael Mateas, Noah Wardrip-Fruin",2014,"09/17/2020 - 15:53","Comme il Faut. AI. Interactive Story. Mismanor and IMMERSE."
Circulars,"Brian Kim Stefans",2003,"09/16/2020 - 11:30","iraq, collaborative writing"
"Beneath the Surface: Waterways, Circulation and Glimmers of Place","Chandra Frank",,"09/15/2020 - 22:06",
"Please, Don't Touch Me!","Rene Bauer and Beat Suter AND-OR",2019,"03/19/2021 - 18:04",artgame
